dataset,model,model_family,tuned,split,fold_id,test_cell,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
NASA,LSTM,LSTM,False,test,test_B0007,B0007,0.024030913501352044,0.020345148381186402,2.4771871750197194,0.8968634698239163,0.14047141722403467,0.021641447490669395,46207.63007793934,28657.0,0.10931777954101562
NASA,GRU,GRU,False,validation,test_B0007,B0007,0.01413107585461893,0.00981581556052721,1.2717196007554465,0.9520024986499949,0.13056645798496902,0.013806190844135065,72431.27458467697,21505.0,0.08203506469726562
NASA,GRU,GRU,False,test,test_B0007,B0007,0.015034635212616436,0.00961821777654711,1.1156277425426078,0.9596300932392096,0.13056645798496902,0.013806190844135065,72431.27458467697,21505.0,0.08203506469726562
NASA,Transformer,Transformer,False,validation,test_B0007,B0007,0.019270625565081793,0.01448418394282234,1.87100868012493,0.910739400333942,0.09338404098525643,0.02361486181861868,42346.21433234766,12801.0,0.048831939697265625
NASA,Transformer,Transformer,False,test,test_B0007,B0007,0.01930964063207233,0.015098189895287972,1.8091076926169043,0.933408263740081,0.09338404098525643,0.02361486181861868,42346.21433234766,12801.0,0.048831939697265625
NASA,DNN,DNN,False,validation,test_B0007,B0007,0.020175991013741727,0.015047818376228553,1.9904611738260611,0.9021551603680611,0.009161208057776093,0.0003983027693864546,2510652.8923723013,5313.0,0.020267486572265625
NASA,DNN,DNN,False,test,test_B0007,B0007,0.017620992637738867,0.01443473257735356,1.783014742357063,0.9445460233272401,0.009161208057776093,0.0003983027693864546,2510652.8923723013,5313.0,0.020267486572265625
NASA,CNN1D,1D-CNN,False,validation,test_B0007,B0007,0.03223562469036834,0.026662809041917493,3.595284905948005,0.7502299529138541,0.09673316706903279,0.018577580033850512,53828.32415082501,12065.0,0.046024322509765625
NASA,CNN1D,1D-CNN,False,test,test_B0007,B0007,0.03308234543531706,0.02794151158822955,3.5615237303157126,0.804537008999771,0.09673316706903279,0.018577580033850512,53828.32415082501,12065.0,0.046024322509765625
NASA,XGBoost,XGBoost,False,validation,test_B0007,B0007,0.012761046449135758,0.007969528660721998,1.0332440587038063,0.9608582036427064,0.017857207916676998,0.0006647498689984021,1504325.2306416081,0.0,0.0
NASA,XGBoost,XGBoost,False,test,test_B0007,B0007,0.008809124457243547,0.006183142625443211,0.7538867276702949,0.9861408227997255,0.017857207916676998,0.0006647498689984021,1504325.2306416081,0.0,0.0
NASA,LightGBM,LightGBM,False,validation,test_B0007,B0007,0.013453994859742646,0.008521169610329908,1.1004012935998402,0.9564918428006346,0.009374584071338177,0.00229495497861583,435738.39544474904,0.0,0.0
NASA,LightGBM,LightGBM,False,test,test_B0007,B0007,0.00795677201769089,0.00529344187438952,0.6473251836160334,0.9886930418417148,0.009374584071338177,0.00229495497861583,435738.39544474904,0.0,0.0
NASA,Ours,ARCF-TCN,True,validation,test_B0007,B0007,0.011575665284810082,0.00682885615657927,0.8864816749458678,0.9677922716083219,0.9333843749482185,0.062029605032876134,16121.334312381852,4033.0,0.015384674072265625
NASA,Ours,ARCF-TCN,True,test,test_B0007,B0007,0.0059590669375199435,0.0036916233494564453,0.450715869495624,0.9936579672031627,0.9333843749482185,0.062029605032876134,16121.334312381852,4033.0,0.015384674072265625
